"","source","target","name","lat_source","lon_source","lat_target","lon_target"
"116","Phlius","Eretria","Asclepiades","37.831664","22.641069","39.29195","22.60593"
"117","Cyrene","Corinth","Aristippus","32.8180895","21.8578913","37.906045","22.878721"
"118","Cyrene","Athenae","Aristippus","32.8180895","21.8578913","37.971687","23.726464"
"119","Bosporus","Alexandria at Egypt","Sphaerus","41.119444","29.075278","31.201435","29.909773"
"120","Caria","Piraeus","Hierocles","37.2454182","28.28124501","37.938183","23.645456"
"121","Skythai","Sardis","Anacharsis","47.5","27.5","38.488314","28.040286"
"122","Samos","Delos","Pythagoras","37.73","26.84","37.397274","25.268194"
"123","Athenae","Potidaea","Socrates","37.971687","23.726464","40.193696","23.327812"
"124","Caria","Amphiareion","Hierocles","37.2454182","28.28124501","38.29388","23.855162"
"125","Athenae","Delium","Xenophon","37.971687","23.726464","38.351682","23.653589"
"126","Stagira","Academy of Plato (Athens)","Aristotle","40.593031","23.79204","37.971421","23.726166"
"127","Clazomenae","Lampsacus","Anaxagoras","38.3614","26.7703","40.346685","26.699162"
"128","Athenae","Potidaea","Alcibiades","37.971687","23.726464","40.193696","23.327812"
"129","Athenae","Isthmus","Socrates","37.971687","23.726464","37.911431","22.999944"
"130","Cyprus","Athenae","Zeno II","35.14052197","33.40349071","37.971687","23.726464"
"131","Cyrene","Asia","Aristippus","32.8180895","21.8578913","38.00339058","28.583242"
"132","Miletus","Red Sea","Democritus","37.531526","27.279561","19","39.5"
"133","Clazomenae","Ionia region (Asia Minor)","Anaxagoras","38.3614","26.7703","37.474596","27.508324"
"134","Cnossos","Athenae","Epimenides","35.297847","25.163106","37.971687","23.726464"
"135","Maronea","Corinth","Metrocles","40.874503","25.509974","37.906045","22.878721"
"136","Carystus","Lysimachia","Antigonus","38.016541","24.420381","38.535856","21.336882"
"137","Athenae","Mantinea","Cephisodorus","37.971687","23.726464","37.616619","22.391896"
"138","Clazomenae","Olympian Zeus sanctuary (Eleia)","Anaxagoras","38.3614","26.7703","37.63794","21.63042"
"139","Eretria","Oropus","Menedemus","39.29195","22.60593","38.319486","23.793064"
"140","Chalcedon","Sicily","Xenocrates","40.983393","29.025789","37.59995833","14.01537778"
"141","Miletus","Aethiopia","Democritus","37.531526","27.279561","12.5","37.5"
"142","Boeotia","Sardis","Proxenus","38.35","23.25","38.488314","28.040286"
"143","Megara (Attica)","Athenae","Stilpo","37.99471","23.34324","37.971687","23.726464"
"144","Syros","Samos","Pherecydes","37.43","24.92","37.73","26.84"
"145","Syros","Delphi","Pherecydes","37.43","24.92","38.482289","22.501169"
"146","Athenae","Pontus","Xenophon","37.971687","23.726464","40.5","36.5"
"147","Caria","Munichia","Hierocles","37.2454182","28.28124501","37.875","23.625"
"148","Stagira","Mitylene","Aristotle","40.593031","23.79204","39.110475","26.547048"
"149","Samos","Lesbos","Pythagoras","37.73","26.84","39.2074811","26.1342123"
"150","Athenae","Delium","Socrates","37.971687","23.726464","38.351682","23.653589"
"151","Athenae","Elis","Philesia","37.971687","23.726464","37.891781","21.375091"
"152","Abdera","Athenae","Protagoras","40.95","24.983333","37.971687","23.726464"
"153","Pontus","Athenae","Heraclides","40.5","36.5","37.971687","23.726464"
"154","Athenae","Lepreum","Gryllus II","37.971687","23.726464","37.432321","21.726002"
"155","Sicily","Athenae","Eudoxus III","37.59995833","14.01537778","37.971687","23.726464"
"156","Athenae","Skillous","Diodorus V","37.971687","23.726464","37.75","21.75"
