"","source","target","name","lat_source","lon_source","lat_target","lon_target"
"108","Crotone","Sicily","Philolaus","39.080763","17.12708","37.59995833","14.01537778"
"109","Athenae","Sicily","Plato","37.971687","23.726464","37.59995833","14.01537778"
"110","Athenae","Academy of Plato (Athens)","Plato","37.971687","23.726464","37.971421","23.726166"
"111","Athenae","Corinth","Plato","37.971687","23.726464","37.906045","22.878721"
"112","Athenae","Cyrene","Plato","37.971687","23.726464","32.8180895","21.8578913"
"113","Athenae","Megara (Attica)","Plato","37.971687","23.726464","37.99471","23.34324"
"114","Athenae","Aetna M.","Plato","37.971687","23.726464","37.755","14.995"
"115","Athenae","Ancient Egypt (region)","Plato","37.971687","23.726464","27.884516","28.39896735"
"116","Athenae","Delium","Plato","37.971687","23.726464","38.351682","23.653589"
"117","Athenae","Italy","Plato","37.971687","23.726464","43","12"
"118","Abdera","Sicily","Protagoras","40.95","24.983333","37.59995833","14.01537778"
"119","Abdera","Athenae","Protagoras","40.95","24.983333","37.971687","23.726464"
"120","Boeotia","Sardis","Proxenus","38.35","23.25","38.488314","28.040286"
"121","Pitane","Athenae","Pylades II","38.928297","26.937453","37.971687","23.726464"
"122","Pitane","Chios (island)","Pylades II","38.928297","26.937453","38.414","26.053"
"123","Elis","Alpheios river","Pyrrho","37.891781","21.375091","37.331323","22.450723"
"124","Elis","India","Pyrrho","37.891781","21.375091","22.5","77.5"
"125","Samos","Creta","Pythagoras","37.73","26.84","35.23189721","24.88625628"
"126","Samos","Ancient Egypt (region)","Pythagoras","37.73","26.84","27.884516","28.39896735"
"127","Samos","Metapontum","Pythagoras","37.73","26.84","40.383868","16.824063"
"128","Samos","Ida","Pythagoras","37.73","26.84","39.7","26.83333"
"129","Samos","Italy","Pythagoras","37.73","26.84","43","12"
"130","Samos","Lesbos","Pythagoras","37.73","26.84","39.2074811","26.1342123"
"131","Samos","Delos","Pythagoras","37.73","26.84","37.397274","25.268194"
"132","Samos","Nestos (river)","Pythagoras","37.73","26.84","41.5","23.5"
"133","Samos","Hades (Place)","Pythagoras","37.73","26.84","37.0325","31.6369"
"134","Samos","Crotone","Pythagoras","37.73","26.84","39.080763","17.12708"
"135","Athenae","Phthia","Socrates","37.971687","23.726464","39.25","22.25"
"136","Athenae","Potidaea","Socrates","37.971687","23.726464","40.193696","23.327812"
"137","Athenae","Isthmus","Socrates","37.971687","23.726464","37.911431","22.999944"
"138","Athenae","Delium","Socrates","37.971687","23.726464","38.351682","23.653589"
"139","Athenae","Samos","Socrates","37.971687","23.726464","37.73","26.84"
"140","Athenae","Delphi","Socrates","37.971687","23.726464","38.482289","22.501169"
"141","Athenae","Amphipolis","Socrates","37.971687","23.726464","36.486032","38.234824"
"142","Salamis","Cilicia","Solon","37.94874","23.53379","37.01602582","35.52573634"
"143","Salamis","Ancient Egypt (region)","Solon","37.94874","23.53379","27.884516","28.39896735"
"144","Salamis","Athenae","Solon","37.94874","23.53379","37.971687","23.726464"
"145","Salamis","Cyprus","Solon","37.94874","23.53379","35.14052197","33.40349071"
"146","Salamis","Creta","Solon","37.94874","23.53379","35.23189721","24.88625628"
"147","Athenae","Macedonia","Speusippus","37.971687","23.726464","41.25","21.75"
"148","Bosporus","Alexandria at Egypt","Sphaerus","41.119444","29.075278","31.201435","29.909773"
"149","Megara (Attica)","Athenae","Stilpo","37.99471","23.34324","37.971687","23.726464"
"150","Megara (Attica)","Aegina","Stilpo","37.99471","23.34324","37.75","23.433333"
"151","Phoenicia","Creta","Thales","33.25","35.25","35.23189721","24.88625628"
"152","Phoenicia","Ancient Egypt (region)","Thales","33.25","35.25","27.884516","28.39896735"
"153","Phoenicia","Athenae","Thales","33.25","35.25","37.971687","23.726464"
"154","Cyrene","Athenae","Theodorus","32.8180895","21.8578913","37.971687","23.726464"
"155","Cyrene","Corinth","Theodorus","32.8180895","21.8578913","37.906045","22.878721"
"156","Cnidos","Athenae","Theomedon","36.730968","27.685848","37.971687","23.726464"
"157","Cnidos","Piraeus","Theomedon","36.730968","27.685848","37.938183","23.645456"
"158","Phlius","Chalcedon","Timon","37.831664","22.641069","40.983393","29.025789"
"159","Phlius","Thebes","Timon","37.831664","22.641069","38.319236","23.317355"
"160","Phlius","Elis","Timon","37.831664","22.641069","37.891781","21.375091"
"161","Phlius","Propontis","Timon","37.831664","22.641069","40.6666672","28.2499999"
"162","Phlius","Megara (Attica)","Timon","37.831664","22.641069","37.99471","23.34324"
"163","Phlius","Athenae","Timon","37.831664","22.641069","37.971687","23.726464"
"164","Chalcedon","Academy of Plato (Athens)","Xenocrates","40.983393","29.025789","37.971421","23.726166"
"165","Chalcedon","Sicily","Xenocrates","40.983393","29.025789","37.59995833","14.01537778"
"166","Colophon","Elea","Xenophanes","38.109632","27.14711","39.444248","20.560388"
"167","Colophon","Zancle","Xenophanes","38.109632","27.14711","38.192251","15.556634"
"168","Colophon","Katane","Xenophanes","38.109632","27.14711","37.502959","15.088142"
"169","Colophon","Sicily","Xenophanes","38.109632","27.14711","37.59995833","14.01537778"
"170","Athenae","Corinth","Xenophon","37.971687","23.726464","37.906045","22.878721"
"171","Athenae","Skillous","Xenophon","37.971687","23.726464","37.75","21.75"
"172","Athenae","Elis","Xenophon","37.971687","23.726464","37.891781","21.375091"
"173","Athenae","Pontus","Xenophon","37.971687","23.726464","40.5","36.5"
"174","Athenae","Hellas","Xenophon","37.971687","23.726464","37.5","22.5"
"175","Athenae","Asia","Xenophon","37.971687","23.726464","38.00339058","28.583242"
"176","Athenae","Lepreum","Xenophon","37.971687","23.726464","37.432321","21.726002"
"177","Athenae","Delium","Xenophon","37.971687","23.726464","38.351682","23.653589"
"178","Kition (Cyprus)","Piraeus","Zeno II","34.929597","33.629471","37.938183","23.645456"
"179","Kition (Cyprus)","Athenae","Zeno II","34.929597","33.629471","37.971687","23.726464"
"180","Phlius","Athenae","Axiothea","37.831664","22.641069","37.971687","23.726464"
"181","Mantinea","Athenae","Lastheneia","37.616619","22.391896","37.971687","23.726464"
"182","Athenae","Elis","Philesia","37.971687","23.726464","37.891781","21.375091"
