Name,Groups
Dionysus the God,Male
Dioscurides,Male
Dioteles,Male
Diphilus,Male
Diphilus III,Male
Dorian,Male
Dosiadas,Male
Draco,Male
Duris,Male
Echecrates,Male
Egyptians,Male
Eleusis,Male
Elians,Male
Empedocles,Male
Empedocles II,Male
Epaminondas,Male
Ephectics,Male
Ephesians,Male
Ephorus,Male
Epicharmus,Male
Epicomus,Male
Epicurus,Male
Epigenes,Male
Epimenides,Male
Epitimides,Male
Erasistratus,Male
Eratosthenes,Male
Erineus,Male
Ethesians,Male
Euagoras,Male
Euanthes,Male
Euathlus,Male
Eubulides,Male
Eubulides II,Male
Eubulus II,Male
Eubulus III,Male
Eubulus V,Male
Euclides,Male
Eudemus,Male
Eudoxus,Male
Eudoxus II,Male
Eudoxus III,Male
Eudoxus IV,Male
Eudromus,Male
Eumelus,Male
Eumenes,Male
Eunomus,Male
Euphantus,Male
Euphorbus,Male
Eupolis,Male
Euripides,Male
Euryclides,Male
Eurylochus,Male
Eurylochus II,Male
Eurylochus III,Male
Eurymedon,Male
Eurymenes,Male
Eurystratus,Male
Eurytus,Male
Euthyphro,Male
Euthyphro IV,Male
Euthyrphro III,Male
Eutychides,Male
Evander,Male
Exaenetus,Male
Examyas,Male
Execestides,Male
Father of Phaeax,Male
Favorinus,Male
Glaucon,Male
Glaucon II,Male
Glauconides,Male
Glaucos,Male
Glaucus,Male
Glaucus II,Male
Gnurus,Male
Gorgiadas,Male
Gorgias,Male
Gryllion,Male
Gryllus,Male
Gryllus III?,Male
Gymnosophists,Male
Halcyoneus,Male
Hannibal,Male
Hecataeus,Male
Hecato,Male
Hegesias,Male
Hegesias III,Male
Hegesibulus,Male
Hegesilaus,Male
Hegesinus,Male
Hegesipolis,Male
Hegesistratus,Male
Helothales,Male
Hera,Male
Heraclides,Male
Heraclides II,Male
Heraclides IV,Male
Heraclides of Serapion,Male
Heracliteans,Male
Heraclitus,Male
Heraclitus II,Male
Heraclitus III,Male
Heraclitus IV,Male
Heraclitus V,Male
Heracon,Male
Herillus,Male
Hermias,Male
Hermippus,Male
Hermodamas,Male
Hermodorus,Male
